"set","group","image_id","file","attention_tag","note"
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00029","correct_called_authentic__mendeley_split_c_00029.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00031","correct_called_authentic__mendeley_split_c_00031.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00084","correct_called_authentic__mendeley_split_c_00084.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00098","correct_called_authentic__mendeley_split_c_00098.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00091","correct_called_authentic__mendeley_split_c_00091.png","incidental",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00033","wrong_called_counterfeit__mendeley_split_c_00033.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00020","wrong_called_counterfeit__mendeley_split_c_00020.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00077","wrong_called_counterfeit__mendeley_split_c_00077.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00146","wrong_called_counterfeit__mendeley_split_c_00146.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00132","wrong_called_counterfeit__mendeley_split_c_00132.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00026","wrong_called_counterfeit__mendeley_split_c_00026.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00100","wrong_called_counterfeit__mendeley_split_c_00100.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00023","wrong_called_counterfeit__mendeley_split_c_00023.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00096","wrong_called_counterfeit__mendeley_split_c_00096.png","packaging_relevant",""
"M3 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00110","wrong_called_counterfeit__mendeley_split_c_00110.png","packaging_relevant",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00148","correct_called_authentic__mendeley_split_c_00148.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00090","correct_called_authentic__mendeley_split_c_00090.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00012","correct_called_authentic__mendeley_split_c_00012.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00097","correct_called_authentic__mendeley_split_c_00097.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00071","correct_called_authentic__mendeley_split_c_00071.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00005","correct_called_authentic__mendeley_split_c_00005.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00004","correct_called_authentic__mendeley_split_c_00004.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00035","correct_called_authentic__mendeley_split_c_00035.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00037","correct_called_authentic__mendeley_split_c_00037.png","incidental",""
"M3 external (Split C)","correct_called_authentic","mendeley_split_c_00084","correct_called_authentic__mendeley_split_c_00084.png","incidental",""
