image_id,source_dataset,orig_relpath,class_label,product_identity,case_id,source_organization,redistributable,panel_composite,label_crop,min_hamming_distance_to_existing_pool
split_e_HV_000019_x40,WHO regulatory alert,split_e_harvested/HV_000019_x40.png,counterfeit,case_ALERT_0011,https://www.who.int/news/item/02-07-2015-medical-product-alert-n-4-2015--adverse-reactions-caused-by-falsified-diazepam,WHO,False,no,no,18
split_e_HV_000019_x49,WHO regulatory alert,split_e_harvested/HV_000019_x49.png,counterfeit,case_ALERT_0011,https://www.who.int/news/item/02-07-2015-medical-product-alert-n-4-2015--adverse-reactions-caused-by-falsified-diazepam,WHO,False,yes,no,16
split_e_HV_000035_x24,WHO regulatory alert,split_e_harvested/HV_000035_x24.png,counterfeit,case_ALERT_0012,https://www.who.int/news/item/03-07-2026-medical-product-alert-n-3-2026--falsified-darzalex-(daratumumab),WHO,False,yes,no,18
split_e_HV_000036_x24,WHO regulatory alert,split_e_harvested/HV_000036_x24.png,counterfeit,case_ALERT_0012,https://www.who.int/news/item/03-07-2026-medical-product-alert-n-3-2026--falsified-darzalex-(daratumumab),WHO,False,yes,no,16
split_e_HV_000036_x29,WHO regulatory alert,split_e_harvested/HV_000036_x29.png,counterfeit,case_ALERT_0012,https://www.who.int/news/item/03-07-2026-medical-product-alert-n-3-2026--falsified-darzalex-(daratumumab),WHO,False,yes,no,14
split_e_HV_000045_x38,WHO regulatory alert,split_e_harvested/HV_000045_x38.png,counterfeit,case_ALERT_0013,https://www.who.int/news/item/04-09-2023-medical-product-alert-n-7-2023--falsified-defitelio-(defibrotide),WHO,False,yes,no,20
split_e_HV_000062_x28,WHO regulatory alert,split_e_harvested/HV_000062_x28.png,counterfeit,case_ALERT_0014,https://www.who.int/news/item/04-11-2021-medical-product-alert-n-7-2021-falsified-covid-19-vaccine-astrazeneca,WHO,False,yes,no,18
split_e_HV_000070_x34,WHO regulatory alert,split_e_harvested/HV_000070_x34.png,counterfeit,case_ALERT_0015,https://www.who.int/news/item/05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,WHO,False,no,no,18
split_e_HV_000070_x35,WHO regulatory alert,split_e_harvested/HV_000070_x35.png,counterfeit,case_ALERT_0015,https://www.who.int/news/item/05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,WHO,False,no,no,14
split_e_HV_000070_x48,WHO regulatory alert,split_e_harvested/HV_000070_x48.png,counterfeit,case_ALERT_0015,https://www.who.int/news/item/05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,WHO,False,no,no,16
split_e_HV_000078_x36,WHO regulatory alert,split_e_harvested/HV_000078_x36.png,counterfeit,case_ALERT_0016,https://www.who.int/news/item/05-08-2024-medical-product-alert-n-3-2024--falsified-(contaminated)-oxymorphone-hydrochloride-40mg,WHO,False,yes,no,18
split_e_HV_000096_x28,WHO regulatory alert,split_e_harvested/HV_000096_x28.png,counterfeit,case_ALERT_0017,https://www.who.int/news/item/09-03-2022-medical-product-alert-n-2-2022-falsified-desrem-(remdesivir),WHO,False,no,no,18
split_e_HV_000104_x39,WHO regulatory alert,split_e_harvested/HV_000104_x39.png,counterfeit,case_ALERT_0018,https://www.who.int/news/item/09-12-2025-medical-product-alert-n-6-2025--falsified-simulect-(basiliximab)-for-injection,WHO,False,no,no,18
split_e_HV_000116_x55,WHO regulatory alert,split_e_harvested/HV_000116_x55.png,counterfeit,case_ALERT_0019,https://www.who.int/news/item/10-03-2021-medical-product-alert-n-1-2021-falsified-vitamin-a,WHO,False,yes,no,18
split_e_HV_000116_x56,WHO regulatory alert,split_e_harvested/HV_000116_x56.png,counterfeit,case_ALERT_0019,https://www.who.int/news/item/10-03-2021-medical-product-alert-n-1-2021-falsified-vitamin-a,WHO,False,no,no,16
split_e_HV_000125_x49,WHO regulatory alert,split_e_harvested/HV_000125_x49.png,counterfeit,case_ALERT_0020,https://www.who.int/news/item/10-10-2014-medical-product-alert-n-2-2014--falsified-medicines-update,WHO,False,no,no,14
split_e_HV_000125_x50,WHO regulatory alert,split_e_harvested/HV_000125_x50.png,counterfeit,case_ALERT_0020,https://www.who.int/news/item/10-10-2014-medical-product-alert-n-2-2014--falsified-medicines-update,WHO,False,no,no,18
split_e_HV_000125_x53,WHO regulatory alert,split_e_harvested/HV_000125_x53.png,counterfeit,case_ALERT_0020,https://www.who.int/news/item/10-10-2014-medical-product-alert-n-2-2014--falsified-medicines-update,WHO,False,no,no,20
split_e_HV_000125_x54,WHO regulatory alert,split_e_harvested/HV_000125_x54.png,counterfeit,case_ALERT_0020,https://www.who.int/news/item/10-10-2014-medical-product-alert-n-2-2014--falsified-medicines-update,WHO,False,no,no,16
split_e_HV_000133_x54,WHO regulatory alert,split_e_harvested/HV_000133_x54.png,counterfeit,case_ALERT_0021,https://www.who.int/news/item/10-10-2024-medical-product-alert-n-4-2024--falsified-usp-ep-propylene-glycol,WHO,False,no,no,18
split_e_HV_000133_x59,WHO regulatory alert,split_e_harvested/HV_000133_x59.png,counterfeit,case_ALERT_0021,https://www.who.int/news/item/10-10-2024-medical-product-alert-n-4-2024--falsified-usp-ep-propylene-glycol,WHO,False,no,no,18
split_e_HV_000133_x66,WHO regulatory alert,split_e_harvested/HV_000133_x66.png,counterfeit,case_ALERT_0021,https://www.who.int/news/item/10-10-2024-medical-product-alert-n-4-2024--falsified-usp-ep-propylene-glycol,WHO,False,no,no,18
split_e_HV_000145_x47,WHO regulatory alert,split_e_harvested/HV_000145_x47.png,counterfeit,case_ALERT_0022,https://www.who.int/news/item/11-02-2016-medical-product-alert-n-2-2016--falsified-amaril-yellow-fever-vaccines,WHO,False,no,no,18
split_e_HV_000145_x48,WHO regulatory alert,split_e_harvested/HV_000145_x48.png,counterfeit,case_ALERT_0022,https://www.who.int/news/item/11-02-2016-medical-product-alert-n-2-2016--falsified-amaril-yellow-fever-vaccines,WHO,False,no,no,14
split_e_HV_000153_x35,WHO regulatory alert,split_e_harvested/HV_000153_x35.png,counterfeit,case_ALERT_0023,https://www.who.int/news/item/11-04-2023-medical-product-alert-n-3-2023--falsified-defitelio-(defibrotide-sodium),WHO,False,yes,no,20
split_e_HV_000153_x36,WHO regulatory alert,split_e_harvested/HV_000153_x36.png,counterfeit,case_ALERT_0023,https://www.who.int/news/item/11-04-2023-medical-product-alert-n-3-2023--falsified-defitelio-(defibrotide-sodium),WHO,False,yes,no,16
split_e_HV_000162_x42,WHO regulatory alert,split_e_harvested/HV_000162_x42.png,counterfeit,case_ALERT_0024,https://www.who.int/news/item/12-03-2025-medical-product-alert-n-1-2024--falsified-(contaminated)-oxycontin-80mg,WHO,False,no,no,16
split_e_HV_000162_x44,WHO regulatory alert,split_e_harvested/HV_000162_x44.png,counterfeit,case_ALERT_0024,https://www.who.int/news/item/12-03-2025-medical-product-alert-n-1-2024--falsified-(contaminated)-oxycontin-80mg,WHO,False,no,no,18
split_e_HV_000170_x50,WHO regulatory alert,split_e_harvested/HV_000170_x50.png,counterfeit,case_ALERT_0025,https://www.who.int/news/item/13-08-2021-medical-product-alert-n-4-2021-falsified-remdesivir,WHO,False,no,no,18
split_e_HV_000170_x51,WHO regulatory alert,split_e_harvested/HV_000170_x51.png,counterfeit,case_ALERT_0025,https://www.who.int/news/item/13-08-2021-medical-product-alert-n-4-2021-falsified-remdesivir,WHO,False,no,no,16
split_e_HV_000179_x34,WHO regulatory alert,split_e_harvested/HV_000179_x34.png,counterfeit,case_ALERT_0026,https://www.who.int/news/item/14-05-2025-medical-product-alert-n-3-2025--falsified-imfinzi-(durvalumab)-injection-500mg-10ml,WHO,False,yes,no,18
split_e_HV_000180_x36,WHO regulatory alert,split_e_harvested/HV_000180_x36.png,counterfeit,case_ALERT_0026,https://www.who.int/news/item/14-05-2025-medical-product-alert-n-3-2025--falsified-imfinzi-(durvalumab)-injection-500mg-10ml,WHO,False,no,no,18
split_e_HV_000180_x38,WHO regulatory alert,split_e_harvested/HV_000180_x38.png,counterfeit,case_ALERT_0026,https://www.who.int/news/item/14-05-2025-medical-product-alert-n-3-2025--falsified-imfinzi-(durvalumab)-injection-500mg-10ml,WHO,False,no,no,16
split_e_HV_000189_x11,WHO regulatory alert,split_e_harvested/HV_000189_x11.png,counterfeit,case_ALERT_0027,https://www.who.int/news/item/15-04-2024-medical-product-alert-n-1-2024--falsified-(contaminated)-usp-ep-propylene-glycol,WHO,False,no,no,18
split_e_HV_000189_x7,WHO regulatory alert,split_e_harvested/HV_000189_x7.png,counterfeit,case_ALERT_0027,https://www.who.int/news/item/15-04-2024-medical-product-alert-n-1-2024--falsified-(contaminated)-usp-ep-propylene-glycol,WHO,False,no,no,18
split_e_HV_000189_x9,WHO regulatory alert,split_e_harvested/HV_000189_x9.png,counterfeit,case_ALERT_0027,https://www.who.int/news/item/15-04-2024-medical-product-alert-n-1-2024--falsified-(contaminated)-usp-ep-propylene-glycol,WHO,False,no,no,20
split_e_HV_000217_x27,WHO regulatory alert,split_e_harvested/HV_000217_x27.png,counterfeit,case_ALERT_0028,https://www.who.int/news/item/18-08-2017-medical-product-alert-n-3-2017--falsified-avastin-and-sutent,WHO,False,no,no,18
split_e_HV_000217_x28,WHO regulatory alert,split_e_harvested/HV_000217_x28.png,counterfeit,case_ALERT_0028,https://www.who.int/news/item/18-08-2017-medical-product-alert-n-3-2017--falsified-avastin-and-sutent,WHO,False,no,no,18
split_e_HV_000217_x33,WHO regulatory alert,split_e_harvested/HV_000217_x33.png,counterfeit,case_ALERT_0028,https://www.who.int/news/item/18-08-2017-medical-product-alert-n-3-2017--falsified-avastin-and-sutent,WHO,False,no,no,20
split_e_HV_000217_x34,WHO regulatory alert,split_e_harvested/HV_000217_x34.png,counterfeit,case_ALERT_0028,https://www.who.int/news/item/18-08-2017-medical-product-alert-n-3-2017--falsified-avastin-and-sutent,WHO,False,no,no,20
split_e_HV_000225_x44,WHO regulatory alert,split_e_harvested/HV_000225_x44.png,counterfeit,case_ALERT_0029,https://www.who.int/news/item/18-11-2015-medical-product-alert-n-5-2015--falsified-emergency-contraceptive,WHO,False,yes,no,14
split_e_HV_000233_x34,WHO regulatory alert,split_e_harvested/HV_000233_x34.png,counterfeit,case_ALERT_0030,https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),WHO,False,no,no,18
split_e_HV_000233_x41,WHO regulatory alert,split_e_harvested/HV_000233_x41.png,counterfeit,case_ALERT_0030,https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),WHO,False,no,yes,18
split_e_HV_000233_x42,WHO regulatory alert,split_e_harvested/HV_000233_x42.png,counterfeit,case_ALERT_0030,https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),WHO,False,no,no,18
split_e_HV_000233_x43,WHO regulatory alert,split_e_harvested/HV_000233_x43.png,counterfeit,case_ALERT_0030,https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),WHO,False,no,no,16
split_e_HV_000233_x49,WHO regulatory alert,split_e_harvested/HV_000233_x49.png,counterfeit,case_ALERT_0030,https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),WHO,False,no,no,12
split_e_HV_000233_x50,WHO regulatory alert,split_e_harvested/HV_000233_x50.png,counterfeit,case_ALERT_0030,https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),WHO,False,no,no,18
split_e_HV_000241_x29,WHO regulatory alert,split_e_harvested/HV_000241_x29.png,counterfeit,case_ALERT_0031,https://www.who.int/news/item/19-08-2016-medical-product-alert-n-4-2016--falsified-quinine-sulphate,WHO,False,no,no,16
split_e_HV_000241_x30,WHO regulatory alert,split_e_harvested/HV_000241_x30.png,counterfeit,case_ALERT_0031,https://www.who.int/news/item/19-08-2016-medical-product-alert-n-4-2016--falsified-quinine-sulphate,WHO,False,no,no,18
split_e_HV_000241_x42,WHO regulatory alert,split_e_harvested/HV_000241_x42.png,counterfeit,case_ALERT_0031,https://www.who.int/news/item/19-08-2016-medical-product-alert-n-4-2016--falsified-quinine-sulphate,WHO,False,no,no,20
split_e_HV_000241_x43,WHO regulatory alert,split_e_harvested/HV_000241_x43.png,counterfeit,case_ALERT_0031,https://www.who.int/news/item/19-08-2016-medical-product-alert-n-4-2016--falsified-quinine-sulphate,WHO,False,no,no,18
split_e_HV_000249_x32,WHO regulatory alert,split_e_harvested/HV_000249_x32.png,counterfeit,case_ALERT_0032,https://www.who.int/news/item/19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,WHO,False,no,yes,18
split_e_HV_000249_x33,WHO regulatory alert,split_e_harvested/HV_000249_x33.png,counterfeit,case_ALERT_0032,https://www.who.int/news/item/19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,WHO,False,no,yes,14
split_e_HV_000249_x49,WHO regulatory alert,split_e_harvested/HV_000249_x49.png,counterfeit,case_ALERT_0032,https://www.who.int/news/item/19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,WHO,False,no,yes,14
split_e_HV_000249_x50,WHO regulatory alert,split_e_harvested/HV_000249_x50.png,counterfeit,case_ALERT_0032,https://www.who.int/news/item/19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,WHO,False,no,yes,20
split_e_HV_000257_x48,WHO regulatory alert,split_e_harvested/HV_000257_x48.png,counterfeit,case_ALERT_0033,https://www.who.int/news/item/21-12-2021-medical-product-alert-n-8-2021-falsified-combiart,WHO,False,no,no,18
split_e_HV_000257_x49,WHO regulatory alert,split_e_harvested/HV_000257_x49.png,counterfeit,case_ALERT_0033,https://www.who.int/news/item/21-12-2021-medical-product-alert-n-8-2021-falsified-combiart,WHO,False,no,no,14
split_e_HV_000257_x50,WHO regulatory alert,split_e_harvested/HV_000257_x50.png,counterfeit,case_ALERT_0033,https://www.who.int/news/item/21-12-2021-medical-product-alert-n-8-2021-falsified-combiart,WHO,False,no,no,16
split_e_HV_000266_x47,WHO regulatory alert,split_e_harvested/HV_000266_x47.png,counterfeit,case_ALERT_0034,https://www.who.int/news/item/22-05-2015-medical-product-alert-n-2-2015--falsified-meningitis-vaccines,WHO,False,no,no,18
split_e_HV_000266_x48,WHO regulatory alert,split_e_harvested/HV_000266_x48.png,counterfeit,case_ALERT_0034,https://www.who.int/news/item/22-05-2015-medical-product-alert-n-2-2015--falsified-meningitis-vaccines,WHO,False,no,no,18
split_e_HV_000266_x49,WHO regulatory alert,split_e_harvested/HV_000266_x49.png,counterfeit,case_ALERT_0034,https://www.who.int/news/item/22-05-2015-medical-product-alert-n-2-2015--falsified-meningitis-vaccines,WHO,False,no,no,18
split_e_HV_000282_x45,WHO regulatory alert,split_e_harvested/HV_000282_x45.png,counterfeit,case_ALERT_0035,https://www.who.int/news/item/23-03-2018-medical-product-alert-n-3-2018--falsified-hepatitis-b-vaccines,WHO,False,no,no,18
split_e_HV_000282_x47,WHO regulatory alert,split_e_harvested/HV_000282_x47.png,counterfeit,case_ALERT_0035,https://www.who.int/news/item/23-03-2018-medical-product-alert-n-3-2018--falsified-hepatitis-b-vaccines,WHO,False,no,no,18
split_e_HV_000282_x49,WHO regulatory alert,split_e_harvested/HV_000282_x49.png,counterfeit,case_ALERT_0035,https://www.who.int/news/item/23-03-2018-medical-product-alert-n-3-2018--falsified-hepatitis-b-vaccines,WHO,False,no,no,18
split_e_HV_000282_x51,WHO regulatory alert,split_e_harvested/HV_000282_x51.png,counterfeit,case_ALERT_0035,https://www.who.int/news/item/23-03-2018-medical-product-alert-n-3-2018--falsified-hepatitis-b-vaccines,WHO,False,no,no,20
split_e_HV_000282_x53,WHO regulatory alert,split_e_harvested/HV_000282_x53.png,counterfeit,case_ALERT_0035,https://www.who.int/news/item/23-03-2018-medical-product-alert-n-3-2018--falsified-hepatitis-b-vaccines,WHO,False,no,no,20
split_e_HV_000290_x30,WHO regulatory alert,split_e_harvested/HV_000290_x30.png,counterfeit,case_ALERT_0036,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,WHO,False,no,no,16
split_e_HV_000290_x31,WHO regulatory alert,split_e_harvested/HV_000290_x31.png,counterfeit,case_ALERT_0036,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,WHO,False,no,no,14
split_e_HV_000290_x32,WHO regulatory alert,split_e_harvested/HV_000290_x32.png,counterfeit,case_ALERT_0036,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,WHO,False,no,no,16
split_e_HV_000290_x33,WHO regulatory alert,split_e_harvested/HV_000290_x33.png,counterfeit,case_ALERT_0036,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,WHO,False,no,no,18
split_e_HV_000290_x34,WHO regulatory alert,split_e_harvested/HV_000290_x34.png,counterfeit,case_ALERT_0036,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,WHO,False,no,no,18
split_e_HV_000290_x39,WHO regulatory alert,split_e_harvested/HV_000290_x39.png,counterfeit,case_ALERT_0036,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,WHO,False,no,no,16
split_e_HV_000290_x40,WHO regulatory alert,split_e_harvested/HV_000290_x40.png,counterfeit,case_ALERT_0036,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,WHO,False,no,no,16
split_e_HV_000298_x34,WHO regulatory alert,split_e_harvested/HV_000298_x34.png,counterfeit,case_ALERT_0037,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,WHO,False,no,no,16
split_e_HV_000298_x37,WHO regulatory alert,split_e_harvested/HV_000298_x37.png,counterfeit,case_ALERT_0037,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,WHO,False,no,yes,16
split_e_HV_000298_x38,WHO regulatory alert,split_e_harvested/HV_000298_x38.png,counterfeit,case_ALERT_0037,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,WHO,False,no,no,16
split_e_HV_000298_x41,WHO regulatory alert,split_e_harvested/HV_000298_x41.png,counterfeit,case_ALERT_0037,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,WHO,False,no,no,18
split_e_HV_000298_x42,WHO regulatory alert,split_e_harvested/HV_000298_x42.png,counterfeit,case_ALERT_0037,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,WHO,False,no,no,18
split_e_HV_000298_x45,WHO regulatory alert,split_e_harvested/HV_000298_x45.png,counterfeit,case_ALERT_0037,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,WHO,False,no,no,18
split_e_HV_000306_x49,WHO regulatory alert,split_e_harvested/HV_000306_x49.png,counterfeit,case_ALERT_0038,https://www.who.int/news/item/25-02-2016-medical-product-alert-n-3-2016--falsified-hepatitis-c-medicines,WHO,False,no,no,16
split_e_HV_000306_x50,WHO regulatory alert,split_e_harvested/HV_000306_x50.png,counterfeit,case_ALERT_0038,https://www.who.int/news/item/25-02-2016-medical-product-alert-n-3-2016--falsified-hepatitis-c-medicines,WHO,False,no,no,18
split_e_HV_000306_x51,WHO regulatory alert,split_e_harvested/HV_000306_x51.png,counterfeit,case_ALERT_0038,https://www.who.int/news/item/25-02-2016-medical-product-alert-n-3-2016--falsified-hepatitis-c-medicines,WHO,False,no,no,20
split_e_HV_000306_x52,WHO regulatory alert,split_e_harvested/HV_000306_x52.png,counterfeit,case_ALERT_0038,https://www.who.int/news/item/25-02-2016-medical-product-alert-n-3-2016--falsified-hepatitis-c-medicines,WHO,False,no,no,18
split_e_HV_000306_x53,WHO regulatory alert,split_e_harvested/HV_000306_x53.png,counterfeit,case_ALERT_0038,https://www.who.int/news/item/25-02-2016-medical-product-alert-n-3-2016--falsified-hepatitis-c-medicines,WHO,False,no,no,18
split_e_HV_000314_x49,WHO regulatory alert,split_e_harvested/HV_000314_x49.png,counterfeit,case_ALERT_0039,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,WHO,False,no,no,18
split_e_HV_000314_x54,WHO regulatory alert,split_e_harvested/HV_000314_x54.png,counterfeit,case_ALERT_0039,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,WHO,False,no,no,18
split_e_HV_000314_x55,WHO regulatory alert,split_e_harvested/HV_000314_x55.png,counterfeit,case_ALERT_0039,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,WHO,False,no,no,16
split_e_HV_000322_x34,WHO regulatory alert,split_e_harvested/HV_000322_x34.png,counterfeit,case_ALERT_0040,https://www.who.int/news/item/25-08-2022-medical-product-alert-n-5-2022-falsified-diprivan,WHO,False,no,no,14
split_e_HV_000322_x35,WHO regulatory alert,split_e_harvested/HV_000322_x35.png,counterfeit,case_ALERT_0040,https://www.who.int/news/item/25-08-2022-medical-product-alert-n-5-2022-falsified-diprivan,WHO,False,no,no,16
split_e_HV_000322_x36,WHO regulatory alert,split_e_harvested/HV_000322_x36.png,counterfeit,case_ALERT_0040,https://www.who.int/news/item/25-08-2022-medical-product-alert-n-5-2022-falsified-diprivan,WHO,False,no,no,18
split_e_HV_000322_x37,WHO regulatory alert,split_e_harvested/HV_000322_x37.png,counterfeit,case_ALERT_0040,https://www.who.int/news/item/25-08-2022-medical-product-alert-n-5-2022-falsified-diprivan,WHO,False,no,no,16
split_e_HV_000330_x51,WHO regulatory alert,split_e_harvested/HV_000330_x51.png,counterfeit,case_ALERT_0041,https://www.who.int/news/item/26-03-2021-medical-product-alert-n-2-2021-falsified-covid-19-vaccine-bnt162b2,WHO,False,yes,no,14
split_e_HV_000347_x42,WHO regulatory alert,split_e_harvested/HV_000347_x42.png,counterfeit,case_ALERT_0042,https://www.who.int/news/item/27-05-2015-medical-product-alert-n-3-2015--falsified-meningitis-vaccines-update,WHO,False,no,no,16
split_e_HV_000347_x43,WHO regulatory alert,split_e_harvested/HV_000347_x43.png,counterfeit,case_ALERT_0042,https://www.who.int/news/item/27-05-2015-medical-product-alert-n-3-2015--falsified-meningitis-vaccines-update,WHO,False,no,no,18
split_e_HV_000347_x47,WHO regulatory alert,split_e_harvested/HV_000347_x47.png,counterfeit,case_ALERT_0042,https://www.who.int/news/item/27-05-2015-medical-product-alert-n-3-2015--falsified-meningitis-vaccines-update,WHO,False,no,no,16
split_e_HV_000347_x48,WHO regulatory alert,split_e_harvested/HV_000347_x48.png,counterfeit,case_ALERT_0042,https://www.who.int/news/item/27-05-2015-medical-product-alert-n-3-2015--falsified-meningitis-vaccines-update,WHO,False,no,no,16
split_e_HV_000347_x49,WHO regulatory alert,split_e_harvested/HV_000347_x49.png,counterfeit,case_ALERT_0042,https://www.who.int/news/item/27-05-2015-medical-product-alert-n-3-2015--falsified-meningitis-vaccines-update,WHO,False,no,no,16
split_e_HV_000355_x34,WHO regulatory alert,split_e_harvested/HV_000355_x34.png,counterfeit,case_ALERT_0043,https://www.who.int/news/item/27-05-2022-medical-product-alert-n-3-2022-falsified-intratect-human-normal-immunoglobulin,WHO,False,no,no,16
split_e_HV_000355_x35,WHO regulatory alert,split_e_harvested/HV_000355_x35.png,counterfeit,case_ALERT_0043,https://www.who.int/news/item/27-05-2022-medical-product-alert-n-3-2022-falsified-intratect-human-normal-immunoglobulin,WHO,False,no,no,16
split_e_HV_000355_x36,WHO regulatory alert,split_e_harvested/HV_000355_x36.png,counterfeit,case_ALERT_0043,https://www.who.int/news/item/27-05-2022-medical-product-alert-n-3-2022-falsified-intratect-human-normal-immunoglobulin,WHO,False,no,no,16
split_e_HV_000355_x37,WHO regulatory alert,split_e_harvested/HV_000355_x37.png,counterfeit,case_ALERT_0043,https://www.who.int/news/item/27-05-2022-medical-product-alert-n-3-2022-falsified-intratect-human-normal-immunoglobulin,WHO,False,no,no,18
split_e_HV_000363_x25,WHO regulatory alert,split_e_harvested/HV_000363_x25.png,counterfeit,case_ALERT_0044,https://www.who.int/news/item/27-07-2017-medical-product-alert-n-2-2017--falsified-quinine-sulphate,WHO,False,no,no,18
split_e_HV_000363_x26,WHO regulatory alert,split_e_harvested/HV_000363_x26.png,counterfeit,case_ALERT_0044,https://www.who.int/news/item/27-07-2017-medical-product-alert-n-2-2017--falsified-quinine-sulphate,WHO,False,no,no,18
split_e_HV_000363_x31,WHO regulatory alert,split_e_harvested/HV_000363_x31.png,counterfeit,case_ALERT_0044,https://www.who.int/news/item/27-07-2017-medical-product-alert-n-2-2017--falsified-quinine-sulphate,WHO,False,no,no,18
